1,3,2,0.32,25,17,8,2,1,1,1,0,99,0,1
2,14,2,0.07,25,16,9,2,1,1,1,0,99,0,1
3,12,3,0.32,23,13,6,2,1,1,1,0,99,0,1
4,15,5,0.21,24,14,6,2,1,1,1,0,99,0,1
5,5,1,0.16,23,15,4,1,1,1,1,0,99,0,1
6,2,1,0.31,25,13,7,3,1,1,1,0,99,0,1
7,18,2,0.28,20,15,6,1,1,1,1,0,99,0,1
8,18,7,0.01,23,16,8,2,1,1,1,0,99,0,1
9,29,10,0.26,20,13,9,2,1,1,1,0,99,0,1
10,25,7,0.1,20,17,8,3,1,1,1,0,99,0,1
11,20,1,0.04,24,14,8,2,1,1,1,0,99,0,1
12,27,8,0.04,23,15,6,1,1,1,1,0,99,0,1
13,20,2,0.35,25,16,6,1,1,1,1,0,99,0,1
14,21,5,0.05,22,13,9,1,1,1,1,0,99,0,1
15,26,4,0.28,25,17,7,2,1,1,1,0,99,0,1
16,3,2,0.34,23,14,5,2,1,1,1,0,99,0,1
17,17,5,0.02,25,16,4,2,1,1,1,0,99,0,1
18,25,6,0.14,24,16,8,3,1,1,1,0,99,0,1
19,27,4,0.04,23,15,6,2,1,1,1,0,99,0,1
20,22,7,0.27,21,14,8,2,1,1,1,0,99,0,1
21,12,1,0.24,20,13,4,3,1,1,1,0,99,0,1
22,4,1,0.13,23,18,4,2,1,1,1,0,99,0,1
23,25,5,0.27,23,13,4,3,1,1,1,0,99,0,1
24,22,2,0.13,20,15,8,3,1,1,1,0,99,0,1
25,29,5,0.05,21,13,5,1,1,1,1,0,99,0,1
26,14,6,0.03,24,18,8,1,1,1,1,0,99,0,1
27,18,3,0.33,21,15,7,2,1,1,1,0,99,0,1
28,23,2,0.3,25,15,7,1,1,1,1,0,99,0,1
29,12,4,0.23,25,14,7,1,1,1,1,0,99,0,1
30,29,1,0.28,24,13,4,2,1,1,1,0,99,0,1
31,25,3,0.22,22,18,5,1,1,1,1,0,99,0,1
32,17,6,0.17,20,15,9,2,1,1,1,0,99,0,1
33,24,10,0.33,23,17,7,2,1,1,1,0,99,0,1
34,2,1,0.07,25,18,9,3,1,1,1,0,99,0,1
35,30,7,0.08,21,14,5,3,1,1,1,0,99,0,1
36,4,1,0.26,22,15,5,1,1,1,1,0,99,0,1
37,10,2,0.11,20,18,6,1,1,1,1,0,99,0,1
38,2,1,0.12,23,17,8,2,1,1,1,0,99,0,1
39,30,6,0.09,23,16,7,1,1,1,1,0,99,0,1
40,2,1,0.22,21,14,4,2,1,1,1,0,99,0,1
41,13,2,0.3,23,18,8,1,1,1,1,0,99,0,1
42,6,2,0.35,20,18,8,2,1,1,1,0,99,0,1
43,23,5,0.21,23,15,5,2,1,1,1,0,99,0,1
44,29,12,0.14,24,16,8,3,1,1,1,0,99,0,1
45,7,3,0.03,21,16,5,3,1,1,1,0,99,0,1
46,18,5,0.12,23,13,7,1,1,1,1,0,99,0,1
47,1,1,0.33,23,18,7,3,1,1,1,0,99,0,1
48,20,4,0.13,23,15,4,3,1,1,1,0,99,0,1
49,23,4,0.14,23,14,6,1,1,1,1,0,99,0,1
50,22,9,0.2,25,14,8,1,1,1,1,0,99,0,1
51,8,1,0.2,25,18,9,2,1,1,1,0,99,0,1
